	ModName	FuncName	CodeLine	TotalTime	AvgTime	PctTime	Hits	PctHits	LineText	
147	C:\IG\IG\PRE\FBorrar.frm	DiDominio	2	0	0	0.00%	0	0.00%	Picture1.Cls	
148	C:\IG\IG\PRE\FE.frm	Combo1_Click	14	0	0	0.00%	0	0.00%	Text1(1) = Xs(2, Combo1.ListIndex + 1)	
149	C:\IG\IG\PRE\FBorrar.frm	DiSolido	4	0	0	0.00%	0	0.00%	Picture1.Line (S(0, K), S(1, K))-(S(2, K), S(3, K)), (vbMagenta), B	
150	C:\IG\IG\PRE\FTfE.frm	Combo1_Click	7	0	0	0.00%	0	0.00%	Picture1.Line (XU(LL(I - 1)), YV(MM(J - 1)))-(XU(LL(I)), YV(MM(J))), vbWhite, B	
151	C:\IG\IG\PRE\FMalla.frm	VScroll1_Change	52	0	0	0.00%	0	0.00%	For K = 1 To Ns	
152	C:\IG\IG\PRE\FPR.frm	Form_Load	13	0	0	0.00%	0	0.00%	Relax(3) = 1	
153	C:\IG\IG\PRE\FPR.frm	Text1_Change	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
154	C:\IG\IG\PRE\FPR.frm	Text1_Change	2	0	0	0.00%	0	0.00%	VI(Index) = Val(Text1(Index))	
155	C:\IG\IG\PRE\FPR.frm	Text2_Change	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
156	C:\IG\IG\PRE\FPR.frm	Text2_Change	2	0	0	0.00%	0	0.00%	Relax(Index) = Val(Text2(Index))	
157	C:\IG\IG\PRE\FPR.frm	Text3_Change	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
158	C:\IG\IG\PRE\FPR.frm	Text3_Change	2	0	0	0.00%	0	0.00%	NTime(Index) = Val(Text3(Index))	
159	C:\IG\IG\PRE\FTfE.frm	Combo1_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
160	C:\IG\IG\PRE\FTfE.frm	Combo1_Click	2	0	0	0.00%	0	0.00%	For I = 0 To 1	
161	C:\IG\IG\PRE\FTfE.frm	Combo1_Click	3	0	0	0.00%	0	0.00%	Text2(I) = TFE(I + 1, Combo1.ListIndex + 1)	
162	C:\IG\IG\PRE\FTfE.frm	Combo1_Click	4	0	0	0.00%	0	0.00%	DiMalla	
163	C:\IG\IG\PRE\FTfE.frm	CEscala	3	0	0	0.00%	0	0.00%	.ScaleHeight = -2 * Mediaescala	
164	C:\IG\IG\PRE\FTfE.frm	Combo1_Click	6	0	0	0.00%	0	0.00%	I = Combo1.ListIndex + 1 - (J - 1) * Ndx	
165	C:\IG\IG\PRE\FBorrar.frm	Text1_Change	2	0	0	0.00%	0	0.00%	If VScroll1 <> 0 Then	
166	C:\IG\IG\PRE\FTfE.frm	Command1_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
167	C:\IG\IG\PRE\FTfE.frm	Command1_Click	2	0	0	0.00%	0	0.00%	Me.Hide	
168	C:\IG\IG\PRE\FTfE.frm	Form_Activate	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
169	C:\IG\IG\PRE\FTfE.frm	Form_Activate	2	0	0	0.00%	0	0.00%	Combo1.Locked = False	
170	C:\IG\IG\PRE\FTfE.frm	Form_Activate	3	0	0	0.00%	0	0.00%	CEscala	
171	C:\IG\IG\PRE\FTfE.frm	Form_Activate	4	0	0	0.00%	0	0.00%	DiMalla	
172	C:\IG\IG\PRE\FTfE.frm	Form_Activate	5	0	0	0.00%	0	0.00%	Combo1.Clear	
173	C:\IG\IG\PRE\FTfE.frm	Form_Activate	6	0	0	0.00%	0	0.00%	Cont = 0	
174	C:\IG\IG\PRE\FTfE.frm	Form_Activate	7	0	0	0.00%	0	0.00%	For J = 1 To Ndy	
175	C:\IG\IG\PRE\FTfE.frm	Form_Activate	8	0	0	0.00%	0	0.00%	For I = 1 To Ndx	
176	C:\IG\IG\PRE\FTfE.frm	Form_Activate	9	0	0	0.00%	0	0.00%	Cont = Cont + 1	
177	C:\IG\IG\PRE\FTfE.frm	Form_Activate	10	0	0	0.00%	0	0.00%	Combo1.AddItem ("Bloque Nº " & Cont)	
178	C:\IG\IG\PRE\FTfE.frm	Form_Activate	11	0	0	0.00%	0	0.00%	Combo1.ListIndex = 0	
179	C:\IG\IG\PRE\FTfE.frm	Combo1_Click	5	0	0	0.00%	0	0.00%	J = (Combo1.ListIndex) \ Ndx + 1	
180	C:\IG\IG\PRE\FE.frm	Combo1_Change	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
181	C:\IG\IG\PRE\FBorrar.frm	DiDominio	3	0	0	0.00%	0	0.00%	Picture1.Line (0, 0)-(Xl, Yl), , B	
182	C:\IG\IG\PRE\FCF.frm	Check2_Click	4	0	0	0.00%	0	0.00%	Text1(Index) = Ndx	
183	C:\IG\IG\PRE\FCF.frm	Check2_Click	5	0	0	0.00%	0	0.00%	Case 1	
184	C:\IG\IG\PRE\FCF.frm	Check2_Click	6	0	0	0.00%	0	0.00%	Text1(Index).Enabled = Not (vbChecked = Check2(Index))	
185	C:\IG\IG\PRE\FCF.frm	Check2_Click	7	0	0	0.00%	0	0.00%	Text1(Index) = Ndy	
186	C:\IG\IG\PRE\FCF.frm	Check2_Click	8	0	0	0.00%	0	0.00%	Case 2	
187	C:\IG\IG\PRE\FE.frm	LlenarC	15	0	0	0.00%	0	0.00%	For I = 1 To Ndyd	
